Unnamed: 0,Ages 50-64,Ages &lt;15,Ages 15-39,Ages 65-74
1 year,98.4,99.7,99.5,96.6
2 years,97.5,99.7,98.9,95.4
3 years,96.4,99.7,98.0,94.1
4 years,95.3,99.7,97.3,92.7
5 years,94.1,99.1,96.5,91.1
6 years,92.9,99.1,96.2,89.7
7 years,92.0,99.1,95.5,88.3
8 years,91.0,99.1,94.9,87.0
9 years,90.3,99.1,94.6,85.9
10 years,89.6,99.1,94.0,84.9
